causa_desc,causa_desc_es,causa_desc_en
41,campesinos para eliminar matorral y residuos agrícolas,farmers to remove scrub and agricultural residues
42,pastores y ganaderos para regenerar el pasto,pastoralists and livestock farmers to regenerate grassland
43,venganzas,revenge
44,"ahuyentar animales (lobos, jabalíes)","chasing away animals (wolves, wild boars)"
45,cazadores para facilitar la caza,hunters to facilitate hunting
46,contra el acotamiento de la caza,against the restriction of hunting
47,disensiones en cuanto a la titularidad de los montes públicos o privados,disagreements as to the ownership of public or private woodlands
48,represalia al reducirse las inversiones públicas en los montes,retaliation as public investment in forests is reduced
49,obtener salarios en la extinción de los mismos o en la restauración,to obtain salaries in their extinction or restoration.
210,quema agrícola,agricultural quema
211,quema de rastrojos,stubble burning
212,quema de restos de poda,burning of pruning residues
213,quema de lindes y bordes de fincas,burning of boundaries and edges of properties
214,quema de bordes de acequias,quema de bordes de acequias
215,quema agrícola,agricultural quema
220,quema para regenerar pastos,burning to regenerate pastures
221,quema para regenerar pastos,burning to regenerate pastures
222,quema para regenerar pastos,burning to regenerate pastures
223,quema para regenerar pastos,burning to regenerate pastures
230,trabajos forestales,forest works
240,hogueras,bonfires
250,fumadores,smokers
260,quema de basura,garbage burning
270,escape de vertedero,escape de vertedero
280,quema de matorral,bush burning
281,quema de matorral próximo a edificaciones,burning of scrubland near buildings
282,quema de matorral para limpieza de caminos o sendas,bush burning for clearing roads or trails
283,quema de matorral en focos de animales nocivos,bush burning in pest hotspots
284,quema de matorral,bush burning
291,actividades apícolas,beekeeping activities
292,fuegos artificiales,fireworks
293,globos,balloons
294,juegos de niños,children's games
295,restos de poda de urbanización,urbanization pruning waste
310,ferrocarril,railroad
320,líneas eléctricas,power lines
330,motores y máquinas,engines and machines
331,motores y máquinas,engines and machines
332,motores y máquinas,engines and machines
333,motores y máquinas,engines and machines
334,motores y máquinas,engines and machines
335,motores y máquinas,engines and machines
340,maniobras militares,military maneuvers
410,pirómanos,pirómanos
411,bajar el precio de la madera,lowering the price of wood
412,modificación en el uso del suelo,change in land use
413,grupos políticos para crear malestar social,political groups to create social unrest
414,animadversión contra repoblaciones forestales,animosity against afforestation
415,"delincuentes, etc. para distraer a la G. Civil o Policía","criminals, etc. to distract the G. Civil or Police."
416,rechazo a la creación o existencia de espacios naturales protegidos,rejection of the creation or existence of protected natural areas
417,ritos pseudoreligiosos y satanismo,pseudo-religious rites and satanism
418,contemplar las labores de extinción,to contemplate the extinguishing work
419,vandalismo,vandalism
420,favorecer la producción de productos del monte,to promote the production of forest products
421,forzar resoluciones de consorcios o convenios,forcing resolutions of consortiums or agreements
422,resentimiento por expropiaciones,resentment over expropriations
423,venganzas por multas impuestas,revenge for fines imposed
